name,priceBefore,priceAfter,amount,amountUnit,discount,startDate,endDate,city,shop,page,processed_date,discountCondition
"Стиральный порошок Tide Аквапудра Color, 3 кг",699.99,399.99,3.0,кг,43.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,
"Стиральный порошок Tide Аквапудра Альпийская свежесть, 3 кг",699.99,399.99,3.0,кг,43.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,
"Пельмени Бульмени, с говядиной и свининой, Горячая штучка, 900 г",339.98,169.99,900.0,г,50.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,1+1
"Филе куриное, Петелинка, 1 кг",342.49,289.9,1.0,кг,16.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,
"Кофе Jacobs Monarch, растворимый, 210 г",829.99,399.99,210.0,г,52.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,
"Кукуруза молодая, Bonduelle, 400 г",163.99,89.9,400.0,г,46.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,
"Мука Макфа, 2 кг",139.99,99.99,2.0,кг,29.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,
"Батончики, РотФронт, 250 г",189.99,99.99,250.0,г,48.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,
"Сервелат Финский, Папа Может, 350 г",269.8,134.9,350.0,г,50.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,1+1
"Горошек, нежный, Bonduelle, 400 г",129.99,89.9,400.0,г,31.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,
"Сливки Домик в Деревне, стерилизованные, 10%, 480 мл",129.99,109.99,480.0,мл,16.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,
